                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65317,                 1.5852,                 1.0434,                0.88148,                0.88537,                0.92571,                 0.6933,                 1.1359,                0.55401,                  1.087,                      0,                      0,                      0
                      2,                0.72933,                 1.7432,                 1.0335,                0.89676,                  0.866,                 0.9227,                0.69282,                 1.1398,                  0.556,                 1.0897,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                0.86504,                 1.3737,                 1.0502,                0.89829,                0.86736,                0.92243,                0.69283,                  1.132,                0.55783,                 1.0885,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.72013,                 1.5542,                 1.0509,                0.90213,                0.86603,                0.92223,                 0.6934,                  1.135,                0.56383,                 1.0896,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                0.74124,                 1.5966,                 1.1294,                0.90493,                 0.8632,                0.92219,                0.68892,                 1.1398,                 0.5718,                 1.0908,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.72465,                 1.2609,                0.92993,                0.90157,                0.86595,                0.92217,                0.68622,                  1.142,                0.57331,                 1.0917,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                 0.7285,                 1.3787,                 1.0518,                0.90689,                0.85917,                0.92234,                0.68516,                 1.1485,                0.57604,                 1.0942,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                0.87651,                 1.3564,                 1.0355,                0.91093,                0.85379,                0.92244,                0.68518,                 1.1521,                0.57769,                 1.0973,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                0.73874,                0.86481,                 1.0681,                0.91135,                0.84492,                0.92306,                0.68361,                  1.175,                0.58751,                 1.1092,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.78481,                0.93949,                 1.0483,                0.91014,                0.84301,                0.92039,                0.68914,                 1.1658,                0.57975,                 1.1085,             1.1674e-06,             1.1674e-06,             1.1674e-06
